barrio_name,airbnb_n,airbnb_median,airbnb_p25,airbnb_p75,temp_furn_n,temp_furn_median,long_furn_n,long_furn_median,long_unfurn_n,long_unfurn_median,savings_vs_temp,pct_savings,bedrooms
Puerto Madero,193,2884.0,2414.0,3822.0,84,2111.0,38,1971.0,42,1714.0,773.0,27.0,1
Beccar,29,1766.0,1352.0,2018.0,,,,,12,813.0,,,1
Tigre,108,1761.0,1445.0,2112.0,84,1412.0,48,1295.0,118,939.0,349.0,20.0,1
Victoria,17,1758.0,1352.0,1944.0,,,,,18,765.0,,,1
Acassuso,29,1722.0,1521.0,2062.0,,,,,,,,,1
San Isidro,84,1682.0,1414.0,2046.0,,,,,31,854.0,,,1
Olivos,38,1646.0,1291.0,1915.0,,,,,34,825.0,,,1
San Fernando,18,1606.0,1117.0,2188.0,,,,,46,703.0,,,1
Vicente López,128,1523.0,1275.0,1800.0,12,1189.0,26,952.0,147,784.0,334.0,22.0,1
Colegiales,324,1456.0,1245.0,1795.0,60,1065.0,20,1035.0,55,757.0,391.0,27.0,1
Palermo,4004,1438.0,1201.0,1726.0,699,1057.0,190,1049.0,388,793.0,381.0,26.0,1
Belgrano,587,1380.0,1175.0,1655.0,98,1038.0,51,1016.0,162,791.0,342.0,25.0,1
Villa Devoto,52,1369.0,1069.0,1905.0,,,,,78,726.0,,,1
Martínez,38,1355.0,943.0,1687.0,,,,,18,817.0,,,1
Núñez,223,1346.0,1173.0,1575.0,54,1035.0,18,944.0,81,830.0,311.0,23.0,1
Recoleta,1638,1285.0,1093.0,1557.0,370,860.0,79,851.0,230,704.0,425.0,33.0,1
Villa Urquiza,159,1239.0,1087.0,1437.0,45,900.0,29,879.0,136,769.0,339.0,27.0,1
Retiro,592,1229.0,988.0,1467.0,165,734.0,35,798.0,59,711.0,495.0,40.0,1
Morón,13,1184.0,946.0,1468.0,,,16,569.0,277,562.0,,,1
Coghlan,44,1172.0,957.0,1327.0,10,1109.0,,,15,744.0,63.0,5.0,1
San Telmo,355,1167.0,953.0,1521.0,55,766.0,15,873.0,35,667.0,401.0,34.0,1
San Nicolás,955,1165.0,981.0,1388.0,133,740.0,28,698.0,81,663.0,425.0,36.0,1
Villa Crespo,480,1164.0,982.0,1384.0,71,919.0,25,813.0,105,718.0,245.0,21.0,1
Floresta,15,1159.0,775.0,1906.0,,,,,28,641.0,,,1
La Matanza,40,1155.0,981.0,1265.0,,,13,692.0,321,528.0,,,1
Barracas,92,1153.0,855.0,1551.0,,,,,37,684.0,,,1
Chacarita,214,1151.0,992.0,1383.0,23,1067.0,,,35,780.0,84.0,7.0,1
La Boca,51,1148.0,1000.0,1377.0,,,,,15,589.0,,,1
Monserrat,660,1146.0,941.0,1358.0,94,796.0,19,716.0,65,709.0,350.0,31.0,1
General San Martín,25,1141.0,969.0,1333.0,,,15,731.0,249,603.0,,,1
Saavedra,82,1132.0,983.0,1371.0,11,829.0,,,42,807.0,303.0,27.0,1
Parque Patricios,31,1124.0,856.0,1273.0,,,,,16,640.0,,,1
Florida,17,1116.0,941.0,1426.0,,,,,13,708.0,,,1
Almagro,515,1110.0,962.0,1291.0,122,845.0,32,840.0,171,691.0,265.0,24.0,1
Villa Pueyrredón,14,1101.0,965.0,1319.0,,,,,37,689.0,,,1
Parque Chacabuco,27,1094.0,998.0,1250.0,,,,,53,684.0,,,1
Villa Santa Rita,11,1086.0,861.0,1147.0,,,,,20,682.0,,,1
Villa General Mitre,25,1085.0,986.0,1217.0,,,,,18,652.0,,,1
Lanús,11,1082.0,901.0,1244.0,,,,,95,577.0,,,1
Caballito,191,1065.0,947.0,1313.0,48,865.0,30,825.0,242,704.0,200.0,19.0,1
Villa Luro,14,1065.0,937.0,1432.0,,,,,49,651.0,,,1
Villa del Parque,42,1046.0,889.0,1192.0,,,,,70,695.0,,,1
