category,bedrooms,n,med_rent_exp,med_expensas,med_utilities,med_guarantee,med_broker,med_all_in,utils_pct,guarantee_pct,broker_pct
long furnished,1,1306,650.0,113.0,90.0,0.0,0.0,879.0,10.3,0.0,0.0
long unfurnished,1,7102,474.0,88.0,69.0,0.0,0.0,655.0,10.5,0.0,0.0
temp furnished,1,2181,654.0,108.0,90.0,0.0,0.0,875.0,10.3,0.0,0.0
temp unfurnished,1,479,634.0,99.0,88.0,0.0,0.0,864.0,10.2,0.0,0.0
long furnished,2,679,991.0,184.0,98.0,0.0,0.0,1340.0,7.3,0.0,0.0
long unfurnished,2,3336,653.0,140.0,76.0,0.0,0.0,907.0,8.4,0.0,0.0
temp furnished,2,680,991.0,170.0,97.0,0.0,0.0,1271.0,7.6,0.0,0.0
temp unfurnished,2,197,911.0,140.0,96.0,0.0,0.0,1216.0,7.9,0.0,0.0
long furnished,3,560,1800.0,400.0,116.0,0.0,0.0,2405.0,4.8,0.0,0.0
long unfurnished,3,1395,1369.0,288.0,103.0,0.0,0.0,1797.0,5.7,0.0,0.0
temp furnished,3,329,1800.0,348.0,112.0,0.0,0.0,2423.0,4.6,0.0,0.0
temp unfurnished,3,119,1651.0,308.0,103.0,0.0,0.0,2403.0,4.3,0.0,0.0
