barrio,airbnb_sample_size,airbnb_monthly_median_usd,airbnb_monthly_p25_usd,airbnb_monthly_p75_usd,direct_temp_furnished_sample_size,direct_temp_furnished_monthly_median_usd,direct_long_furnished_sample_size,direct_long_furnished_monthly_median_usd,direct_long_unfurnished_sample_size,direct_long_unfurnished_monthly_median_usd,savings_vs_direct_temp_furnished_usd,savings_vs_direct_temp_furnished_pct,bedrooms
Puerto Madero,199,2814.0,2359.0,3572.0,185,2410.0,262,2505.0,323,1940.0,404.0,14.0,1
Olivos,38,1729.0,1355.0,2138.0,,,25,1272.0,108,742.0,,,1
Victoria,16,1701.0,1369.0,1915.0,12,1074.0,18,1349.0,104,776.0,627.0,37.0,1
San Isidro,91,1700.0,1371.0,2252.0,,,43,874.0,168,785.0,,,1
Beccar,35,1678.0,1161.0,1991.0,,,12,1252.0,72,741.0,,,1
Acassuso,29,1655.0,1392.0,1865.0,,,,,29,743.0,,,1
Tigre,98,1652.0,1346.0,1985.0,65,1393.0,81,1100.0,575,806.0,259.0,16.0,1
Colegiales,312,1527.0,1267.0,1801.0,91,1196.0,88,1239.0,249,839.0,331.0,22.0,1
Vicente López,141,1523.0,1206.0,1767.0,38,1565.0,70,1043.0,399,746.0,-42.0,-3.0,1
Palermo,4034,1476.0,1221.0,1774.0,729,1250.0,639,1186.0,1458,906.0,226.0,15.0,1
Belgrano,600,1405.0,1191.0,1653.0,167,1086.0,113,1013.0,542,861.0,319.0,23.0,1
Villa Devoto,47,1382.0,1077.0,1780.0,,,,,183,685.0,,,1
Núñez,224,1381.0,1213.0,1583.0,50,1236.0,50,1174.0,299,895.0,145.0,10.0,1
San Fernando,16,1364.0,1088.0,2164.0,,,17,734.0,183,668.0,,,1
Floresta,12,1333.0,916.0,2509.0,,,,,72,571.0,,,1
Recoleta,1658,1330.0,1134.0,1573.0,365,1034.0,218,905.0,576,727.0,296.0,22.0,1
Villa Urquiza,155,1318.0,1107.0,1494.0,36,1263.0,63,866.0,382,756.0,55.0,4.0,1
Retiro,593,1254.0,1033.0,1495.0,104,911.0,81,914.0,153,708.0,343.0,27.0,1
Martínez,43,1226.0,858.0,1594.0,14,1518.0,,,87,801.0,-292.0,-24.0,1
Parque Chacabuco,28,1223.0,1036.0,1380.0,,,,,105,738.0,,,1
San Nicolás,980,1204.0,1040.0,1415.0,80,830.0,60,739.0,181,634.0,374.0,31.0,1
San Telmo,372,1193.0,959.0,1561.0,61,882.0,47,1020.0,122,875.0,311.0,26.0,1
La Matanza,41,1190.0,955.0,1398.0,,,39,535.0,1666,485.0,,,1
Barracas,103,1176.0,870.0,1523.0,,,11,761.0,109,663.0,,,1
Chacarita,213,1164.0,997.0,1374.0,22,1108.0,18,1003.0,113,753.0,56.0,5.0,1
Villa Crespo,506,1161.0,999.0,1385.0,70,1022.0,51,919.0,302,758.0,139.0,12.0,1
General San Martín,24,1158.0,1031.0,1345.0,,,28,574.0,826,535.0,,,1
Saavedra,80,1151.0,960.0,1447.0,,,15,762.0,148,800.0,,,1
La Boca,58,1142.0,968.0,1448.0,,,,,48,592.0,,,1
Monserrat,669,1128.0,941.0,1350.0,71,864.0,50,823.0,144,648.0,264.0,23.0,1
Coghlan,48,1121.0,972.0,1313.0,,,14,879.0,39,735.0,,,1
Villa General Mitre,20,1110.0,1026.0,1242.0,,,,,70,636.0,,,1
Almagro,533,1110.0,932.0,1291.0,119,907.0,54,934.0,446,648.0,203.0,18.0,1
Villa Pueyrredón,11,1094.0,981.0,1159.0,,,,,93,682.0,,,1
Flores,76,1089.0,858.0,1265.0,,,28,702.0,380,637.0,,,1
Avellaneda,12,1072.0,796.0,1231.0,,,11,566.0,490,535.0,,,1
Caballito,209,1071.0,930.0,1301.0,59,944.0,64,820.0,651,648.0,127.0,12.0,1
Constitución,188,1053.0,841.0,1237.0,18,794.0,23,726.0,85,584.0,259.0,25.0,1
Villa del Parque,49,1052.0,869.0,1236.0,,,,,178,650.0,,,1
Florida,19,1042.0,993.0,1155.0,,,,,34,786.0,,,1
Morón,18,1042.0,877.0,1213.0,,,49,628.0,1142,516.0,,,1
Agronomía,19,1037.0,755.0,1175.0,,,,,28,711.0,,,1
Parque Patricios,36,1030.0,837.0,1236.0,,,,,42,582.0,,,1
Balvanera,571,1029.0,845.0,1220.0,96,909.0,61,667.0,342,618.0,120.0,12.0,1
Parque Chas,21,1025.0,949.0,1145.0,,,11,908.0,53,751.0,,,1
Villa Santa Rita,13,1013.0,905.0,1105.0,,,,,73,657.0,,,1
Villa Luro,13,995.0,861.0,1433.0,,,,,101,708.0,,,1
Tres de Febrero,27,960.0,882.0,1079.0,,,15,601.0,860,531.0,,,1
San Cristóbal,87,960.0,838.0,1186.0,14,853.0,14,777.0,95,644.0,107.0,11.0,1
Villa Ortúzar,51,941.0,749.0,1141.0,13,1501.0,10,1205.0,45,839.0,-560.0,-60.0,1
Lanús,13,937.0,888.0,1088.0,,,24,597.0,816,520.0,,,1
Boedo,41,877.0,645.0,966.0,,,,,84,661.0,,,1
Parque Avellaneda,12,844.0,721.0,948.0,,,,,28,580.0,,,1
Puerto Madero,64,3779.0,3323.0,4519.0,60,3595.0,123,3719.0,260,3374.0,184.0,5.0,2
Villa Devoto,11,2649.0,2417.0,4235.0,,,16,1413.0,135,1151.0,,,2
Palermo,839,2464.0,1981.0,3099.0,389,1867.0,332,1942.0,741,1554.0,597.0,24.0,2
San Isidro,22,2460.0,2239.0,2994.0,,,26,1613.0,132,1312.0,,,2
Recoleta,403,2269.0,1892.0,2713.0,183,1671.0,141,1582.0,456,1249.0,598.0,26.0,2
Belgrano,136,2256.0,1824.0,2731.0,80,1689.0,106,1556.0,345,1323.0,567.0,25.0,2
Chacarita,26,2225.0,1871.0,2620.0,,,12,1981.0,25,1278.0,,,2
Núñez,47,2223.0,1844.0,3016.0,24,1911.0,29,2107.0,165,1504.0,312.0,14.0,2
Tigre,33,2143.0,1962.0,2525.0,37,1806.0,40,1400.0,271,1192.0,337.0,16.0,2
Retiro,139,2114.0,1700.0,2519.0,35,1440.0,57,1649.0,151,1413.0,674.0,32.0,2
Vicente López,37,2057.0,1688.0,2394.0,26,2197.0,53,1216.0,363,1088.0,-140.0,-7.0,2
Villa Crespo,78,2016.0,1562.0,2333.0,28,1304.0,25,1132.0,114,1000.0,712.0,35.0,2
Olivos,14,2016.0,1740.0,2736.0,,,15,2439.0,116,1296.0,,,2
San Nicolás,238,1978.0,1645.0,2251.0,64,1142.0,21,950.0,76,934.0,836.0,42.0,2
Colegiales,66,1971.0,1725.0,2657.0,28,1817.0,32,1159.0,110,1214.0,154.0,8.0,2
Martínez,20,1860.0,1522.0,2448.0,,,19,1824.0,97,1271.0,,,2
Barracas,14,1809.0,1562.0,2353.0,,,,,73,885.0,,,2
Villa Urquiza,20,1800.0,1535.0,2034.0,14,1436.0,19,1302.0,186,1152.0,364.0,20.0,2
Monserrat,99,1681.0,1455.0,2002.0,29,1038.0,20,1201.0,68,880.0,643.0,38.0,2
San Telmo,72,1662.0,1385.0,2001.0,24,1302.0,25,1176.0,50,894.0,360.0,22.0,2
