snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at
2026-05-01,Acassuso,1,all,all,64,63,836.24,1466.50,1897.25,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,1,platform,all,47,43,1389.50,1617.00,2003.50,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,1,platform,furnished,43,40,1414.50,1617.00,2003.50,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,1,direct,all,20,17,677.28,745.25,834.62,2026-05-26T03:29:46.663587+00:00
2026-05-01,Acassuso,1,direct,unfurnished,25,25,750.29,916.25,1051.95,2026-05-04T23:46:55.875225+00:00
2026-05-01,Acassuso,2,all,all,61,61,1422.93,1770.57,2386.42,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,2,direct,all,51,51,1288.36,1757.53,2237.37,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,2,direct,furnished,27,27,1475.84,1766.28,2168.47,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,2,direct,unfurnished,23,23,1201.59,1748.07,2340.14,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,3,all,all,46,45,3652.21,5054.57,7063.43,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,3,direct,all,42,41,3486.63,4770.51,7061.18,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,3,direct,furnished,27,26,3771.83,5140.95,7269.46,2026-05-31T03:56:23.665649+00:00
2026-05-01,Acassuso,4,all,all,21,21,7132.98,9897.00,24705.00,2026-05-14T05:05:15.022560+00:00
2026-05-01,Acassuso,4,direct,all,21,21,5339.50,9897.00,24705.00,2026-05-04T23:46:55.875225+00:00
2026-05-01,Agronomía,0,all,all,27,26,645.93,700.59,938.90,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,0,direct,all,22,19,629.60,658.44,755.63,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,1,all,all,66,65,707.26,883.15,1206.25,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,1,platform,all,33,33,801.00,1088.00,1332.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,1,platform,furnished,31,31,804.50,1088.00,1299.50,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,1,direct,all,33,30,676.54,788.28,934.06,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,1,direct,unfurnished,25,24,657.12,774.13,934.06,2026-05-31T03:56:23.665649+00:00
2026-05-01,Agronomía,2,all,all,23,22,1038.53,1320.10,1746.03,2026-05-14T05:05:15.022560+00:00
2026-05-01,Agronomía,2,direct,all,20,20,951.10,1291.62,1545.40,2026-05-14T05:05:15.022560+00:00
2026-05-01,Almagro,0,all,all,644,618,680.89,877.35,1234.76,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,0,platform,all,129,127,968.00,1160.00,1508.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,0,platform,furnished,122,120,960.50,1148.00,1523.75,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,0,direct,all,515,490,649.15,787.04,1119.02,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,0,direct,furnished,311,295,729.61,943.34,1326.42,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,0,direct,unfurnished,202,183,566.33,673.32,804.01,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,all,all,1599,1541,780.17,999.95,1320.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,platform,all,771,734,902.50,1147.00,1457.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,platform,furnished,687,651,908.50,1148.00,1466.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,direct,all,828,799,722.74,890.00,1165.46,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,direct,furnished,443,430,820.92,999.95,1297.47,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,1,direct,unfurnished,382,362,671.60,770.13,953.78,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,all,all,420,401,1090.21,1381.07,1852.24,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,platform,all,130,124,1240.75,1659.95,2244.25,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,platform,furnished,119,113,1215.50,1673.00,2214.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,direct,all,290,281,1036.49,1303.09,1720.65,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,direct,furnished,146,142,1194.61,1446.78,1869.05,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,2,direct,unfurnished,143,138,958.89,1139.98,1482.28,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,3,all,all,91,80,1306.80,1741.41,2271.31,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,3,platform,all,20,16,1680.75,2135.00,2691.75,2026-05-14T05:05:15.022560+00:00
2026-05-01,Almagro,3,platform,furnished,20,16,1680.75,2135.00,2691.75,2026-05-14T05:05:15.022560+00:00
2026-05-01,Almagro,3,direct,all,72,65,1210.48,1690.37,2156.12,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,3,direct,furnished,27,23,1521.90,1776.27,2551.20,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,3,direct,unfurnished,45,43,1170.23,1574.20,2122.23,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,4,all,all,33,32,1827.56,3275.57,4370.18,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almagro,4,direct,all,23,23,1800.26,2361.13,4370.18,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,0,all,all,40,37,411.32,489.09,616.65,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,0,direct,all,40,37,411.32,489.09,616.65,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,0,direct,unfurnished,31,29,445.08,524.78,626.07,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,1,all,all,181,172,435.05,511.68,700.88,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,1,direct,all,181,172,435.05,511.68,700.88,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,1,direct,furnished,31,30,546.53,701.61,866.19,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,1,direct,unfurnished,144,138,429.52,492.66,632.11,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,2,all,all,173,169,655.58,812.04,1136.49,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,2,direct,all,173,169,655.58,812.04,1136.49,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,2,direct,furnished,42,42,746.36,951.10,1560.99,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,2,direct,unfurnished,128,123,617.99,779.26,1023.80,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,3,all,all,55,51,1096.19,1352.70,1968.09,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,3,direct,all,55,51,1096.19,1352.70,1968.09,2026-05-31T03:56:23.665649+00:00
2026-05-01,Almirante Brown,3,direct,furnished,20,19,1150.84,1648.68,1882.11,2026-05-14T05:05:15.022560+00:00
2026-05-01,Almirante Brown,3,direct,unfurnished,35,32,1115.26,1325.51,2023.39,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,0,all,all,70,64,407.56,479.84,570.39,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,0,direct,all,69,63,406.10,477.37,564.67,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,0,direct,furnished,32,30,532.04,603.73,747.68,2026-05-27T03:31:55.921583+00:00
2026-05-01,Avellaneda,0,direct,unfurnished,56,53,403.48,470.68,552.94,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,1,all,all,605,582,509.24,605.75,757.20,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,1,platform,all,20,20,774.00,1056.00,1866.75,2026-05-11T03:21:15.786851+00:00
2026-05-01,Avellaneda,1,direct,all,586,565,508.83,602.98,741.42,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,1,direct,furnished,113,108,554.87,662.34,794.22,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,1,direct,unfurnished,458,442,501.63,591.10,729.09,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,2,all,all,237,229,632.30,760.75,922.60,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,2,direct,all,235,227,632.07,760.75,921.35,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,2,direct,furnished,44,41,657.20,785.95,947.43,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,2,direct,unfurnished,186,182,629.16,761.00,919.87,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,3,all,all,33,30,772.62,949.42,1146.10,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,3,direct,all,33,30,772.62,949.42,1146.10,2026-05-31T03:56:23.665649+00:00
2026-05-01,Avellaneda,3,direct,furnished,20,18,857.59,997.05,1511.30,2026-05-04T03:20:37.758289+00:00
2026-05-01,Avellaneda,3,direct,unfurnished,23,22,770.04,902.81,1137.53,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,all,all,576,549,581.92,734.22,1017.05,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,platform,all,108,100,859.22,1011.50,1308.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,platform,furnished,98,91,858.41,1001.00,1291.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,direct,all,468,442,552.28,691.25,932.59,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,direct,furnished,244,235,637.75,835.92,1137.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,0,direct,unfurnished,216,204,506.77,598.48,723.61,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,all,all,1466,1373,705.29,932.00,1252.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,platform,all,798,732,817.25,1059.00,1420.75,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,platform,furnished,696,637,826.00,1072.50,1442.75,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,direct,all,668,634,663.31,799.20,1057.94,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,direct,furnished,376,361,719.84,932.25,1200.00,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,1,direct,unfurnished,289,273,623.29,710.68,848.03,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,2,all,all,395,380,968.52,1267.88,1658.66,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,2,platform,all,126,117,1223.25,1553.50,2069.25,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,2,platform,furnished,118,108,1220.75,1549.00,2038.75,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,2,direct,all,269,259,920.14,1118.24,1448.74,2026-05-31T03:56:23.665649+00:00
2026-05-01,Balvanera,2,direct,furnished,134,131,1008.41,1297.96,1602.46,2026-05-31T03:56:23.665649+00:00
