snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at,methodology_version
2026-09-01,Almagro,0,all,all,1023,984,603.07,726.09,1035.95,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,0,platform,all,239,230,995.50,1193.00,1458.00,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,0,platform,furnished,239,230,995.50,1193.00,1458.00,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,0,direct,all,784,718,572.18,672.00,793.31,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,0,direct,furnished,295,293,696.57,817.83,1035.95,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,0,direct,unfurnished,405,393,520.53,622.62,690.26,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,all,all,1536,1477,668.23,886.99,1218.50,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,platform,all,691,659,923.00,1190.00,1528.50,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,platform,furnished,689,657,924.00,1190.00,1529.00,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,direct,all,845,804,626.88,728.38,899.83,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,direct,furnished,265,247,751.54,920.42,1100.12,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,1,direct,unfurnished,490,476,591.36,666.70,774.75,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,all,all,491,459,927.06,1206.80,1519.28,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,platform,all,130,123,1272.75,1715.00,2352.00,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,platform,furnished,130,123,1272.75,1715.00,2352.00,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,direct,all,361,356,873.88,1092.39,1328.46,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,direct,furnished,90,87,1041.73,1257.83,1515.22,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,2,direct,unfurnished,229,227,830.12,984.26,1277.76,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
2026-09-01,Almagro,3,all,all,115,102,1207.43,1438.39,1847.70,2026-09-05T03:33:28.161892+00:00,64dbaeb7606f
