barrio_name,airbnb_n,airbnb_median,airbnb_p25,airbnb_p75,temp_furn_n,temp_furn_median,long_furn_n,long_furn_median,long_unfurn_n,long_unfurn_median,savings_vs_temp,pct_savings
Puerto Madero,198,2831.00,2365.00,3699.00,159,2360.00,252,2463.00,296,1891.00,471.00,17.00
Olivos,39,1732.00,1375.00,2100.00,,,22,1051.00,104,774.00,,
San Isidro,90,1700.00,1362.00,2131.00,,,42,886.00,178,800.00,,
Victoria,16,1697.00,1352.00,1915.00,11,1083.00,17,1363.00,119,807.00,614.00,36.00
Tigre,98,1664.00,1334.00,1994.00,67,1417.00,80,1094.00,610,816.00,247.00,15.00
Beccar,36,1648.00,1141.00,1987.00,,,15,1255.00,84,758.00,,
Acassuso,29,1627.00,1392.00,1895.00,,,,,33,772.00,,
Colegiales,307,1539.00,1271.00,1817.00,98,1214.00,81,1200.00,226,794.00,325.00,21.00
Vicente López,143,1521.00,1202.00,1760.00,37,1582.00,66,1122.00,399,778.00,-61.00,-4.00
Palermo,4054,1488.00,1229.00,1792.00,727,1226.00,601,1149.00,1190,841.00,262.00,18.00
Belgrano,604,1432.00,1204.00,1681.00,176,1107.00,100,1027.00,515,822.00,325.00,23.00
Villa Devoto,45,1421.00,1130.00,1833.00,,,,,189,698.00,,
Núñez,225,1385.00,1211.00,1601.00,59,1243.00,53,1118.00,314,908.00,142.00,10.00
San Fernando,16,1379.00,1202.00,2187.00,,,16,742.00,200,676.00,,
Villa Urquiza,153,1351.00,1108.00,1498.00,32,1263.00,57,832.00,365,760.00,88.00,7.00
Martínez,43,1348.00,855.00,1683.00,14,1525.00,,,100,812.00,-177.00,-13.00
Recoleta,1658,1339.00,1141.00,1587.00,374,1036.00,217,906.00,541,729.00,303.00,23.00
Floresta,12,1303.00,916.00,2498.00,,,,,79,586.00,,
Retiro,594,1260.00,1047.00,1497.00,109,933.00,85,867.00,144,744.00,327.00,26.00
Parque Chacabuco,27,1242.00,1019.00,1412.00,,,,,105,756.00,,
San Nicolás,990,1212.00,1036.00,1419.00,81,815.00,57,741.00,163,643.00,397.00,33.00
San Telmo,372,1208.00,971.00,1572.00,64,911.00,38,973.00,94,817.00,297.00,25.00
La Matanza,39,1204.00,961.00,1406.00,,,11,541.00,725,490.00,,
Saavedra,81,1192.00,978.00,1485.00,,,15,776.00,164,832.00,,
Chacarita,214,1190.00,997.00,1385.00,26,1070.00,20,1014.00,95,755.00,120.00,10.00
General San Martín,23,1186.00,1031.00,1407.00,,,,,474,558.00,,
Villa Crespo,508,1172.00,1001.00,1408.00,68,1009.00,49,940.00,265,753.00,163.00,14.00
Barracas,101,1171.00,915.00,1523.00,,,,,92,675.00,,
La Boca,59,1163.00,996.00,1514.00,,,,,49,620.00,,
Monserrat,667,1151.00,944.00,1378.00,74,847.00,46,809.00,121,655.00,304.00,26.00
Coghlan,49,1124.00,973.00,1326.00,,,11,914.00,38,790.00,,
Almagro,537,1114.00,941.00,1307.00,120,914.00,50,870.00,414,656.00,200.00,18.00
Villa General Mitre,20,1108.00,1020.00,1242.00,,,,,82,660.00,,
Lanús,13,1088.00,935.00,1156.00,,,,,328,537.00,,
Flores,76,1086.00,885.00,1259.00,,,28,719.00,420,644.00,,
Caballito,207,1074.00,937.00,1282.00,64,996.00,59,789.00,603,668.00,78.00,7.00
Avellaneda,12,1071.00,796.00,1231.00,,,,,254,550.00,,
Constitución,190,1066.00,846.00,1238.00,17,855.00,22,713.00,81,591.00,211.00,20.00
Agronomía,20,1062.00,774.00,1239.00,,,,,30,714.00,,
Villa del Parque,50,1052.00,859.00,1235.00,,,,,182,652.00,,
Balvanera,575,1043.00,847.00,1229.00,97,908.00,57,699.00,314,618.00,135.00,13.00
Florida,19,1042.00,985.00,1155.00,,,,,36,764.00,,
Villa Santa Rita,13,1040.00,905.00,1076.00,,,,,78,666.00,,
Parque Patricios,37,1034.00,838.00,1266.00,,,,,44,601.00,,
Parque Chas,21,1025.00,890.00,1204.00,,,,,49,760.00,,
San Cristóbal,88,1017.00,838.00,1146.00,14,878.00,14,812.00,102,661.00,139.00,14.00
Villa Pueyrredón,12,1007.00,861.00,1234.00,,,,,95,716.00,,
Villa Luro,13,1000.00,936.00,1383.00,,,,,88,728.00,,
Morón,18,987.00,891.00,1174.00,,,20,625.00,624,527.00,,
Tres de Febrero,25,960.00,876.00,1074.00,,,,,576,535.00,,
Villa Ortúzar,50,946.00,770.00,1112.00,13,1476.00,10,1420.00,39,890.00,-530.00,-56.00
Boedo,38,890.00,713.00,1033.00,,,,,92,695.00,,
Parque Avellaneda,12,844.00,716.00,960.00,,,,,25,595.00,,
