category,bedrooms,n,med_rent_exp,med_expensas,med_utilities,avg_guarantee_when_charged,pct_with_guarantee,avg_broker_when_charged,pct_with_broker,med_all_in,utils_pct,guarantee_pct,broker_pct
long furnished,1,2204,804.00,128.00,92.00,77.00,96.00,43.00,7.00,1023.00,9.00,7.50,4.20
long unfurnished,1,11728,527.00,103.00,70.00,46.00,94.00,20.00,8.00,684.00,10.30,6.80,2.90
temp furnished,1,2577,850.00,110.00,90.00,,0.00,156.00,92.00,1124.00,8.00,,13.90
temp unfurnished,1,747,800.00,108.00,90.00,,0.00,136.00,92.00,1037.00,8.70,,13.10
long furnished,2,1244,1300.00,199.00,99.00,127.00,96.00,58.00,6.00,1611.00,6.10,7.90,3.60
long unfurnished,2,7174,784.00,154.00,81.00,73.00,94.00,33.00,8.00,1019.00,8.00,7.20,3.30
temp furnished,2,1253,1300.00,160.00,96.00,,0.00,231.00,92.00,1668.00,5.80,,13.90
temp unfurnished,2,483,1300.00,175.00,98.00,,0.00,220.00,89.00,1750.00,5.60,,12.60
long furnished,3,728,2000.00,360.00,111.00,196.00,97.00,103.00,5.00,2465.00,4.50,7.90,4.20
long unfurnished,3,3830,1432.00,308.00,107.00,142.00,95.00,59.00,7.00,1903.00,5.60,7.40,3.10
temp furnished,3,464,2184.00,256.00,107.00,,0.00,404.00,95.00,2903.00,3.70,,13.90
temp unfurnished,3,514,3000.00,398.00,124.00,,0.00,516.00,92.00,4030.00,3.10,,12.80
