as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Acassuso,-1,a,0,,,115,157,170,28,30.00,42.00,468
2026-08-20,buenos-aires,Acassuso,0,a,0,,,16,17,15,5,29.00,27.00,54
2026-08-20,buenos-aires,Acassuso,0,u,0,,,10,9,9,3,30.00,27.00,29
2026-08-20,buenos-aires,Acassuso,1,a,0,,,31,45,26,6,25.00,28.50,102
2026-08-20,buenos-aires,Acassuso,1,a,1,,573.43,6,4,6,0,27.00,43.00,27
2026-08-20,buenos-aires,Acassuso,1,a,2,573.43,652.15,8,13,7,3,27.00,25.00,25
2026-08-20,buenos-aires,Acassuso,1,a,3,652.15,850.00,8,13,2,0,12.00,19.50,24
2026-08-20,buenos-aires,Acassuso,1,a,4,850.00,,9,15,11,3,29.00,29.00,26
2026-08-20,buenos-aires,Acassuso,1,n,0,,,9,9,15,3,25.00,29.00,58
2026-08-20,buenos-aires,Acassuso,1,u,0,,,21,33,8,2,44.00,34.50,38
2026-08-20,buenos-aires,Acassuso,2,a,0,,,31,51,52,10,31.00,48.00,124
2026-08-20,buenos-aires,Acassuso,2,a,1,,786.88,4,3,12,0,32.00,48.50,32
2026-08-20,buenos-aires,Acassuso,2,a,2,786.88,1052.81,5,13,16,3,31.00,39.00,32
2026-08-20,buenos-aires,Acassuso,2,a,3,1052.81,1639.87,11,19,14,6,31.00,40.50,33
2026-08-20,buenos-aires,Acassuso,2,a,4,1639.87,,11,16,10,1,37.00,48.00,27
2026-08-20,buenos-aires,Acassuso,2,n,0,,,13,14,29,5,31.00,48.00,62
2026-08-20,buenos-aires,Acassuso,2,u,0,,,14,30,18,4,40.00,48.50,43
2026-08-20,buenos-aires,Acassuso,3,a,0,,,26,34,44,6,31.00,43.00,122
2026-08-20,buenos-aires,Acassuso,3,a,1,,1704.18,9,12,12,2,39.00,43.00,30
2026-08-20,buenos-aires,Acassuso,3,a,2,1704.18,3000.00,8,12,10,4,36.00,46.50,35
2026-08-20,buenos-aires,Acassuso,3,a,3,3000.00,4000.00,7,7,17,0,29.00,38.00,45
2026-08-20,buenos-aires,Acassuso,3,n,0,,,6,6,26,2,29.00,36.00,57
2026-08-20,buenos-aires,Acassuso,3,n,2,1650.17,3500.00,3,2,9,0,27.00,34.00,27
2026-08-20,buenos-aires,Acassuso,3,u,0,,,17,25,18,4,43.00,45.50,50
2026-08-20,buenos-aires,Acassuso,4,a,0,,,11,10,33,1,32.00,49.00,66
2026-08-20,buenos-aires,Acassuso,4,n,0,,,1,1,12,0,29.00,57.00,26
2026-08-20,buenos-aires,Acassuso,4,u,0,,,4,6,18,1,28.00,40.00,30
2026-08-20,buenos-aires,Agronomía,-1,a,0,,,44,76,115,17,29.00,30.00,284
2026-08-20,buenos-aires,Agronomía,0,a,0,,,10,18,38,6,28.00,34.00,85
2026-08-20,buenos-aires,Agronomía,0,a,1,,406.25,2,3,14,1,33.00,35.00,25
2026-08-20,buenos-aires,Agronomía,0,a,2,406.25,438.16,0,1,7,1,21.00,37.00,20
2026-08-20,buenos-aires,Agronomía,0,a,4,506.41,,4,6,8,1,29.00,31.50,20
2026-08-20,buenos-aires,Agronomía,0,n,0,,,2,3,26,2,29.00,35.50,55
2026-08-20,buenos-aires,Agronomía,1,a,0,,,16,32,38,8,31.00,32.50,98
2026-08-20,buenos-aires,Agronomía,1,a,1,,485.43,1,5,11,2,32.00,35.00,25
2026-08-20,buenos-aires,Agronomía,1,a,2,485.43,569.54,3,5,11,1,32.00,33.00,27
2026-08-20,buenos-aires,Agronomía,1,a,3,569.54,651.45,7,14,7,3,35.00,26.00,21
2026-08-20,buenos-aires,Agronomía,1,a,4,651.45,,5,8,8,2,27.00,27.00,24
2026-08-20,buenos-aires,Agronomía,1,n,0,,,5,5,28,0,31.00,36.50,63
2026-08-20,buenos-aires,Agronomía,1,u,0,,,11,27,8,8,31.00,12.00,25
2026-08-20,buenos-aires,Agronomía,2,a,0,,,10,15,22,2,24.00,27.00,55
2026-08-20,buenos-aires,Agronomía,2,n,0,,,4,1,17,0,27.00,30.00,41
2026-08-20,buenos-aires,Agronomía,3,a,0,,,5,10,15,1,29.00,29.00,31
2026-08-20,buenos-aires,ALL,-1,a,0,,,70486,83692,101673,25761,27.00,29.00,294317
2026-08-20,buenos-aires,ALL,0,a,0,,,18799,21282,24164,6864,27.00,28.00,70599
2026-08-20,buenos-aires,ALL,1,a,0,,,24952,31377,38001,9920,25.00,29.00,110247
2026-08-20,buenos-aires,ALL,2,a,0,,,14423,18041,22294,5619,25.00,29.00,65658
2026-08-20,buenos-aires,ALL,3,a,0,,,7892,8533,10942,2232,28.00,30.00,31511
