segment,bedrooms,stay_months,airbnb_median,direct_temp_furnished_median,savings_usd,pct_savings,airbnb_n,direct_n
city-wide,1,1,1306.00,2009.00,-703.00,-54.00,13676,2889
city-wide,1,2,1306.00,1500.00,-194.00,-15.00,13676,2895
city-wide,1,3,1306.00,1335.00,-29.00,-2.00,13676,2889
city-wide,1,6,1306.00,1168.00,138.00,11.00,13676,2889
city-wide,1,12,1306.00,1082.00,224.00,17.00,13676,2886
city-wide,2,1,2131.00,3033.00,-902.00,-42.00,2805,1432
city-wide,2,2,2131.00,2253.00,-122.00,-6.00,2805,1432
city-wide,2,3,2131.00,1993.00,138.00,6.00,2805,1434
city-wide,2,6,2131.00,1726.00,405.00,19.00,2805,1434
city-wide,2,12,2131.00,1598.00,533.00,25.00,2805,1432
expat,1,1,1410.00,2053.00,-643.00,-46.00,6822,1369
expat,1,2,1410.00,1533.00,-123.00,-9.00,6822,1369
expat,1,3,1410.00,1362.00,48.00,3.00,6822,1368
expat,1,6,1410.00,1192.00,218.00,15.00,6822,1370
expat,1,12,1410.00,1105.00,305.00,22.00,6822,1369
expat,2,1,2336.00,3220.00,-884.00,-38.00,1464,690
expat,2,2,2336.00,2353.00,-17.00,-1.00,1464,690
expat,2,3,2336.00,2106.00,230.00,10.00,1464,689
expat,2,6,2336.00,1825.00,511.00,22.00,1464,690
expat,2,12,2336.00,1662.00,674.00,29.00,1464,691
