snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at,methodology_version
2026-08-01,Almagro,0,all,all,1039,996,601.07,727.10,1035.30,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,0,platform,all,239,229,1007.00,1212.00,1497.50,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,0,platform,furnished,239,229,1007.00,1212.00,1497.50,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,all,800,741,570.58,675.98,804.20,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,furnished,317,312,700.66,828.82,1026.16,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,unfurnished,396,384,512.91,609.54,679.70,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,all,all,1468,1413,679.42,912.66,1234.01,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,platform,all,685,651,924.00,1185.00,1530.00,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,platform,furnished,683,649,925.50,1187.00,1530.00,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,all,783,746,625.62,724.59,936.35,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,furnished,260,240,764.97,934.50,1114.11,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,unfurnished,444,408,592.91,665.45,759.27,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,all,all,474,437,946.00,1216.28,1520.14,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,platform,all,130,122,1324.00,1735.00,2390.00,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,platform,furnished,130,122,1324.00,1735.00,2390.00,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,all,344,334,888.76,1105.17,1305.08,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,furnished,90,86,1016.65,1223.65,1521.66,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,unfurnished,213,211,853.99,1027.80,1273.98,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,3,all,all,104,93,1191.72,1356.25,1848.67,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,all,86,77,1096.62,1331.92,1538.47,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,furnished,20,16,1353.36,1356.25,1594.40,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,unfurnished,49,44,1085.65,1286.94,1515.96,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,4,all,all,34,30,2219.88,4340.59,5666.07,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Almagro,4,direct,all,26,23,2176.98,3372.74,5217.72,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,all,all,858,802,526.22,660.53,966.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,platform,all,212,202,952.00,1178.50,1504.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,platform,furnished,211,201,952.00,1175.00,1506.50,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,direct,all,646,609,492.67,595.25,717.74,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,direct,furnished,225,215,614.93,711.83,861.28,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,0,direct,unfurnished,323,317,456.50,538.20,621.46,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,all,all,1367,1278,632.97,840.00,1214.00,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,platform,all,762,698,820.99,1097.50,1493.75,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,platform,furnished,760,696,822.96,1097.50,1497.50,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,direct,all,605,567,592.12,660.09,786.45,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,direct,furnished,188,170,672.29,850.96,943.96,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,1,direct,unfurnished,318,306,577.38,624.56,684.31,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,all,all,448,424,862.13,1083.75,1537.34,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,platform,all,128,114,1289.75,1617.50,2009.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,platform,furnished,128,114,1289.75,1617.50,2009.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,direct,all,320,303,807.96,950.79,1214.68,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,direct,furnished,96,90,1037.24,1280.63,1599.35,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,2,direct,unfurnished,177,164,786.43,862.65,978.42,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,3,all,all,118,103,1155.60,1455.79,2349.75,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,3,platform,all,40,37,2100.75,2745.50,4423.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,3,platform,furnished,40,37,2100.75,2745.50,4423.25,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,3,direct,all,78,72,1094.54,1236.69,1451.86,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,3,direct,unfurnished,39,38,1083.07,1156.12,1369.89,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,4,all,all,39,36,1625.49,2100.87,3941.72,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,4,direct,all,29,28,1457.69,1677.47,2264.22,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
2026-08-01,Balvanera,4,direct,unfurnished,21,19,1457.69,1677.47,2086.48,2026-08-24T03:28:11.242713+00:00,64dbaeb7606f
